surveyId,fold,country,spatial_block,matched_v29_f1,v30_f1,delta_f1,true_cardinality,predicted_cardinality
1879894,0,Czech Republic,+049:+016,0.29508196721311475,0.3225806451612903,0.027498677948175565,30,32
1879957,0,Denmark,+055:+009,0.625,0.6666666666666666,0.04166666666666663,8,10
1880069,0,Denmark,+055:+009,0.30303030303030304,0.36363636363636365,0.06060606060606061,16,17
1880924,0,Italy,+044:+011,0.45901639344262296,0.4444444444444444,-0.014571948998178541,32,31
1881437,0,Denmark,+056:+010,0.4,0.2962962962962963,-0.10370370370370374,7,20
1881441,0,Netherlands,+053:+004,0.4,0.43478260869565216,0.03478260869565214,10,13
1881476,0,Denmark,+055:+009,0.35294117647058826,0.2857142857142857,-0.06722689075630256,6,15
1882199,0,Denmark,+056:+010,0.35555555555555557,0.38095238095238093,0.025396825396825362,20,22
1882281,0,Belgium,+051:+004,0.5185185185185185,0.4666666666666667,-0.051851851851851816,12,18
1882345,0,Italy,+046:+011,0.06451612903225806,0.06349206349206349,-0.0010240655401945742,34,29
1882614,0,Denmark,+055:+009,0.5161290322580645,0.5454545454545454,0.029325513196480912,14,19
1882996,0,Denmark,+055:+009,0.5454545454545454,0.5555555555555556,0.010101010101010166,19,17
1883238,0,Denmark,+056:+010,0.2692307692307692,0.3333333333333333,0.0641025641025641,22,26
1884164,0,Denmark,+055:+009,0.3225806451612903,0.25,-0.07258064516129031,13,19
1884184,0,Denmark,+055:+009,0.64,0.6666666666666666,0.026666666666666616,12,15
1884411,0,France,+045:+004,0.39215686274509803,0.38461538461538464,-0.007541478129713397,34,18
1884604,0,Denmark,+055:+009,0.2857142857142857,0.20689655172413793,-0.07881773399014777,11,18
1884653,0,Denmark,+055:+009,0.11764705882352941,0.12121212121212122,0.0035650623885918054,15,18
1884858,0,Netherlands,+051:+004,0.15384615384615385,0.125,-0.028846153846153855,3,13
1885007,0,Belgium,+051:+004,0.7777777777777778,0.7,-0.07777777777777783,10,10
1885035,0,Denmark,+055:+009,0.375,0.4,0.025000000000000022,17,18
1885253,0,Czech Republic,+049:+016,0.25,0.24719101123595505,-0.0028089887640449507,58,31
1885306,0,Denmark,+056:+010,0.3333333333333333,0.4827586206896552,0.14942528735632188,14,15
1885492,0,Netherlands,+051:+004,0.3125,0.26666666666666666,-0.04583333333333334,11,19
1885533,0,Denmark,+055:+009,0.5333333333333333,0.5,-0.033333333333333326,12,20
1885757,0,Denmark,+055:+009,0.3333333333333333,0.2857142857142857,-0.047619047619047616,11,17
1886129,0,Denmark,+055:+009,0.5161290322580645,0.4117647058823529,-0.10436432637571158,15,19
1886441,0,France,+043:+007,0.12,0.13636363636363635,0.016363636363636358,15,29
1886634,0,Belgium,+051:+004,0.0,0.0,0.0,3,16
1886871,0,Denmark,+056:+010,0.42857142857142855,0.42857142857142855,0.0,10,18
1886957,0,Denmark,+056:+010,0.64,0.64,0.0,26,24
1887533,0,Netherlands,+051:+004,0.7692307692307693,0.625,-0.14423076923076927,5,11
1887610,0,Denmark,+056:+010,0.4666666666666667,0.5,0.033333333333333326,16,16
1887930,0,Denmark,+056:+010,0.3870967741935484,0.4666666666666667,0.0795698924731183,13,17
1888367,0,France,+044:+003,0.125,0.06896551724137931,-0.05603448275862069,9,20
1889809,0,France,+045:+004,0.5,0.5,0.0,17,19
1890731,0,Poland,+053:+018,0.12698412698412698,0.13559322033898305,0.008609093354856073,38,21
1890884,0,Netherlands,+051:+004,0.4,0.47368421052631576,0.07368421052631574,21,17
1891032,0,Denmark,+055:+009,0.3888888888888889,0.46153846153846156,0.07264957264957267,24,15
1891522,0,Denmark,+055:+009,0.3076923076923077,0.3,-0.0076923076923077205,19,21
1891804,0,Denmark,+055:+009,0.4827586206896552,0.5294117647058824,0.046653144016227166,18,16
1892717,0,Denmark,+055:+009,0.20689655172413793,0.2857142857142857,0.07881773399014777,18,17
1892877,0,Denmark,+055:+009,0.4489795918367347,0.5,0.05102040816326531,30,18
1893183,0,Austria,+047:+014,0.19047619047619047,0.13793103448275862,-0.05254515599343185,26,32
1893651,0,Denmark,+055:+009,0.47619047619047616,0.47619047619047616,0.0,11,10
1893662,0,Czech Republic,+049:+016,0.25,0.20689655172413793,-0.04310344827586207,30,28
1893973,0,Denmark,+055:+009,0.4,0.36363636363636365,-0.036363636363636376,5,17
1894269,0,Denmark,+056:+010,0.5,0.4927536231884058,-0.00724637681159418,44,25
1894300,0,Denmark,+055:+009,0.5,0.4864864864864865,-0.013513513513513487,19,18
1894460,0,Denmark,+056:+010,0.4117647058823529,0.45714285714285713,0.04537815126050421,16,19
1894482,0,Denmark,+056:+010,0.3333333333333333,0.2857142857142857,-0.047619047619047616,2,12
1894850,0,France,+045:+000,0.7692307692307693,0.7407407407407407,-0.028490028490028574,14,13
1895101,0,Denmark,+056:+010,0.5263157894736842,0.6666666666666666,0.14035087719298245,9,12
1895205,0,Austria,+047:+014,0.45454545454545453,0.5079365079365079,0.05339105339105338,34,29
1895263,0,France,+043:+007,0.2413793103448276,0.19230769230769232,-0.04907161803713528,30,22
1895385,0,France,+046:+000,0.5294117647058824,0.631578947368421,0.10216718266253866,21,17
1895428,0,Netherlands,+051:+004,0.35714285714285715,0.5,0.14285714285714285,15,17
1895618,0,Denmark,+056:+010,0.59375,0.5333333333333333,-0.060416666666666674,34,26
1896692,0,Netherlands,+051:+004,0.4444444444444444,0.4444444444444444,0.0,7,11
1896746,0,Denmark,+057:+011,0.2727272727272727,0.2608695652173913,-0.01185770750988141,10,13
1897293,0,France,+044:+003,0.48484848484848486,0.5454545454545454,0.06060606060606055,12,21
1897608,0,France,+047:+004,0.5098039215686274,0.4897959183673469,-0.02000800320128049,32,17
1897981,0,Denmark,+055:+009,0.4166666666666667,0.38461538461538464,-0.03205128205128205,7,19
1898438,0,Denmark,+056:+010,0.23076923076923078,0.18181818181818182,-0.04895104895104896,15,18
1898588,0,Belgium,+051:+004,0.21428571428571427,0.27586206896551724,0.061576354679802964,10,19
1898594,0,France,+050:+001,0.25806451612903225,0.30303030303030304,0.04496578690127079,16,17
1898906,0,Denmark,+055:+009,0.2857142857142857,0.2962962962962963,0.010582010582010581,8,19
1898982,0,Netherlands,+051:+004,0.0,0.0,0.0,7,13
1899143,0,Denmark,+056:+010,0.5555555555555556,0.5641025641025641,0.008547008547008517,17,22
1900119,0,Italy,+046:+011,0.21686746987951808,0.18421052631578946,-0.03265694356372861,47,29
1900257,0,Denmark,+056:+010,0.5098039215686274,0.5925925925925926,0.08278867102396514,32,22
1900345,0,Netherlands,+052:+007,0.18181818181818182,0.15384615384615385,-0.02797202797202797,10,16
1900354,0,Denmark,+055:+009,0.34782608695652173,0.25,-0.09782608695652173,10,14
1900560,0,Denmark,+055:+009,0.64,0.5714285714285714,-0.06857142857142862,10,18
1900729,0,Denmark,+055:+009,0.058823529411764705,0.1,0.0411764705882353,24,16
1901126,0,Netherlands,+051:+004,0.4,0.3333333333333333,-0.06666666666666671,2,10
1901568,0,Denmark,+055:+009,0.3157894736842105,0.3157894736842105,0.0,20,18
1901970,0,Denmark,+055:+009,0.41379310344827586,0.375,-0.038793103448275856,15,17
1902457,0,Denmark,+055:+009,0.25806451612903225,0.29411764705882354,0.03605313092979129,15,19
1902768,0,Netherlands,+051:+004,0.0,0.0,0.0,3,11
1903214,0,Netherlands,+051:+004,0.37037037037037035,0.42857142857142855,0.0582010582010582,10,18
1903275,0,Netherlands,+053:+004,0.46153846153846156,0.4,-0.06153846153846154,15,15
1903347,0,Denmark,+055:+009,0.29411764705882354,0.2777777777777778,-0.01633986928104575,20,16
1903376,0,Denmark,+056:+010,0.5365853658536586,0.5641025641025641,0.027517198248905528,18,21
1903736,0,Denmark,+055:+009,0.23529411764705882,0.21052631578947367,-0.024767801857585148,9,10
1903856,0,Denmark,+056:+010,0.3888888888888889,0.41025641025641024,0.021367521367521347,20,19
1904070,0,France,+044:+004,0.06896551724137931,0.125,0.05603448275862069,14,18
1904496,0,Netherlands,+053:+004,0.2222222222222222,0.08695652173913043,-0.13526570048309178,10,13
1904539,0,Netherlands,+051:+004,0.5625,0.5625,0.0,17,15
1904932,0,Denmark,+056:+010,0.06451612903225806,0.13793103448275862,0.07341490545050056,7,22
1904977,0,Denmark,+055:+009,0.32,0.4230769230769231,0.10307692307692307,34,18
1905117,0,Denmark,+056:+010,0.4166666666666667,0.4583333333333333,0.04166666666666663,29,19
1905231,0,Denmark,+056:+010,0.43243243243243246,0.41025641025641024,-0.022176022176022214,21,18
1905480,0,Denmark,+056:+010,0.5714285714285714,0.5217391304347826,-0.0496894409937888,10,13
1905514,0,Denmark,+056:+010,0.4186046511627907,0.42857142857142855,0.009966777408637828,21,21
1905758,0,Denmark,+056:+010,0.45454545454545453,0.42857142857142855,-0.025974025974025983,21,21
1905857,0,Italy,+045:+011,0.24489795918367346,0.2608695652173913,0.015971606033717833,18,28
