surveyId,country,spatial_block,matched_v27_f1,v29_f1,delta_f1,true_cardinality,predicted_cardinality
991650,Denmark,+055:+009,0.4,0.5,0.09999999999999998,11,25
992678,Denmark,+055:+009,0.3404255319148936,0.34782608695652173,0.007400555041628121,23,23
995186,Denmark,+054:+009,0.3076923076923077,0.3225806451612903,0.014888337468982604,7,24
995473,France,+044:-001,0.42857142857142855,0.4827586206896552,0.054187192118226646,10,19
998559,Denmark,+054:+009,0.5833333333333334,0.631578947368421,0.04824561403508765,9,10
998634,Denmark,+055:+009,0.25,0.2641509433962264,0.014150943396226412,25,28
1003616,Denmark,+055:+009,0.22727272727272727,0.2127659574468085,-0.014506769825918753,21,26
1004565,Denmark,+055:+009,0.35294117647058826,0.375,0.022058823529411742,13,19
1004877,Denmark,+055:+009,0.38461538461538464,0.3333333333333333,-0.05128205128205132,8,10
1008559,France,+044:-001,0.23076923076923078,0.42857142857142855,0.19780219780219777,8,20
1009094,Denmark,+054:+009,0.41379310344827586,0.6666666666666666,0.2528735632183908,11,13
1009185,France,+043:+007,0.4230769230769231,0.39344262295081966,-0.029634300126103408,31,30
1009453,Denmark,+055:+009,0.14285714285714285,0.16666666666666666,0.023809523809523808,11,13
1010695,Denmark,+055:+009,0.25,0.5,0.25,8,12
1015921,Denmark,+055:+009,0.5,0.47619047619047616,-0.023809523809523836,6,15
1018206,France,+044:+006,0.5416666666666666,0.5714285714285714,0.029761904761904767,27,29
1021093,Denmark,+055:+009,0.2777777777777778,0.3870967741935484,0.10931899641577059,8,23
1022594,Denmark,+055:+009,0.38461538461538464,0.45614035087719296,0.07152496626180832,29,28
1023744,Denmark,+055:+009,0.6470588235294118,0.5625,-0.0845588235294118,15,17
1026556,Denmark,+055:+009,0.3333333333333333,0.42857142857142855,0.09523809523809523,4,10
1027133,Denmark,+055:+009,0.21621621621621623,0.24242424242424243,0.026208026208026203,14,19
1028560,France,+043:+000,0.6222222222222222,0.6666666666666666,0.0444444444444444,25,26
1029584,France,+043:+000,0.4878048780487805,0.5306122448979592,0.04280736684917874,22,27
1031477,France,+048:+002,0.3,0.35,0.04999999999999999,17,23
1031849,Denmark,+055:+009,0.20512820512820512,0.4666666666666667,0.26153846153846155,21,9
1032681,France,+043:+007,0.4126984126984127,0.41379310344827586,0.0010946907498631808,44,14
1034566,Denmark,+055:+009,0.3783783783783784,0.3684210526315789,-0.009957325746799472,16,22
1035013,Denmark,+055:+009,0.35714285714285715,0.4166666666666667,0.059523809523809534,12,12
1037614,Poland,+054:+017,0.23076923076923078,0.4,0.16923076923076924,7,13
1037617,France,+044:+000,0.5238095238095238,0.5581395348837209,0.034330011074197087,22,21
1038636,Denmark,+054:+009,0.3157894736842105,0.36363636363636365,0.04784688995215314,15,18
1040216,Denmark,+055:+009,0.3076923076923077,0.38095238095238093,0.07326007326007322,12,9
1040481,Denmark,+055:+009,0.4583333333333333,0.5306122448979592,0.0722789115646259,27,22
1040887,Denmark,+054:+009,0.0,0.08333333333333333,0.08333333333333333,7,17
1041052,Denmark,+055:+009,0.5555555555555556,0.5625,0.00694444444444442,14,18
1042058,Denmark,+055:+009,0.23076923076923078,0.17391304347826086,-0.05685618729096992,9,14
1043439,Denmark,+055:+009,0.5660377358490566,0.6666666666666666,0.10062893081761004,28,26
1043719,Denmark,+055:+009,0.1111111111111111,0.11764705882352941,0.006535947712418305,2,15
