surveyId,fold,country,spatial_block,matched_v29_f1,v31_f1,delta_f1,predicted_cardinality,swaps
1802432,1,Denmark,+055:+011,0.29508196721311475,0.29508196721311475,0.0,23,0
1802566,1,Netherlands,+051:+005,0.0,0.0,0.0,19,0
1803266,1,Denmark,+055:+011,0.05263157894736842,0.05263157894736842,0.0,13,0
1803324,1,Denmark,+054:+012,0.4444444444444444,0.4444444444444444,0.0,17,0
1803582,1,Denmark,+055:+011,0.2727272727272727,0.2727272727272727,0.0,22,0
1803923,1,Denmark,+055:+011,0.7111111111111111,0.7111111111111111,0.0,22,0
1804069,1,France,+044:+001,0.47058823529411764,0.47058823529411764,0.0,16,0
1804475,1,Denmark,+056:+008,0.25806451612903225,0.25806451612903225,0.0,19,0
1804539,1,Netherlands,+051:+005,0.42857142857142855,0.42857142857142855,0.0,8,0
1804648,1,Denmark,+056:+008,0.5294117647058824,0.5294117647058824,0.0,18,0
1804858,1,France,+043:+005,0.0,0.0,0.0,11,0
1804868,1,Croatia,+045:+013,0.5074626865671642,0.5074626865671642,0.0,35,1
1805411,1,Denmark,+055:+011,0.3404255319148936,0.3404255319148936,0.0,30,0
1806022,1,Austria,+048:+015,0.1509433962264151,0.1509433962264151,0.0,25,1
1806137,1,Denmark,+056:+008,0.55,0.55,0.0,21,0
1806212,1,Netherlands,+051:+005,0.42857142857142855,0.42857142857142855,0.0,18,0
1806236,1,Netherlands,+051:+005,0.41379310344827586,0.41379310344827586,0.0,19,2
1806782,1,Netherlands,+051:+005,0.14285714285714285,0.14285714285714285,0.0,21,0
1806792,1,Belgium,+051:+005,0.3939393939393939,0.36363636363636365,-0.030303030303030276,27,2
1807248,1,Denmark,+056:+008,0.4166666666666667,0.4166666666666667,0.0,20,0
1807534,1,Netherlands,+051:+005,0.45454545454545453,0.45454545454545453,0.0,22,1
1808337,1,Austria,+048:+015,0.1935483870967742,0.1935483870967742,0.0,21,1
1808489,1,Denmark,+056:+008,0.24242424242424243,0.24242424242424243,0.0,18,0
1808499,1,France,+044:+001,0.41509433962264153,0.41509433962264153,0.0,21,0
1808770,1,Denmark,+056:+008,0.5714285714285714,0.5714285714285714,0.0,12,0
1808913,1,Denmark,+056:+008,0.3333333333333333,0.3333333333333333,0.0,17,0
1809085,1,Denmark,+056:+008,0.3111111111111111,0.3111111111111111,0.0,23,0
1809170,1,Denmark,+056:+008,0.18181818181818182,0.18181818181818182,0.0,16,0
1809314,1,France,+044:+001,0.4888888888888889,0.4888888888888889,0.0,15,0
1809352,1,France,+043:+005,0.0,0.0,0.0,21,0
1809651,1,Belgium,+051:+005,0.37209302325581395,0.37209302325581395,0.0,20,1
1809706,1,Denmark,+056:+008,0.5806451612903226,0.5806451612903226,0.0,16,0
1809707,1,Denmark,+056:+008,0.5,0.5,0.0,18,0
1809773,1,Czech Republic,+049:+018,0.09836065573770492,0.09836065573770492,0.0,37,2
